nothing_prob,throw_prob,swing_prob
0.48683834,0.38990545,0.12325628
0.9993418,5.1704043e-05,0.00060653064
0.9999964,1.8603183e-06,1.7140343e-06
0.8559942,0.056794137,0.0872116
0.99999034,2.437667e-06,7.2637245e-06
0.84556633,0.14638501,0.008048606
0.99879813,6.524404e-05,0.0011366534
1.0,1.7339588e-08,4.540437e-08
0.36399466,0.2055282,0.43047714
0.99996233,1.5897481e-06,3.608054e-05
0.9998536,7.967606e-05,6.679645e-05
1.0,3.2893663e-11,4.297536e-12
0.32734275,0.007959327,0.6646979
1.0,1.5029816e-09,7.930765e-11
0.99983037,0.00011700956,5.260882e-05
0.9996419,8.670043e-05,0.00027137858
0.9999999,1.0798462e-07,1.9322053e-09
0.50222427,0.16595803,0.33181766
1.0,6.257884e-10,1.0196009e-11
0.9999777,2.0010237e-05,2.263452e-06
0.99993646,6.213668e-05,1.4221384e-06
0.9999999,1.634148e-07,8.53536e-09
0.99645656,0.0031071615,0.0004362969
0.99875724,2.9532948e-05,0.0012132707
0.9999999,6.279698e-08,2.0860345e-09
0.9985697,0.0003580199,0.0010722271
1.0,3.964991e-09,2.649666e-08
0.9984291,0.0015030414,6.786814e-05
0.999835,1.8891298e-05,0.00014612766
1.0,1.5826694e-10,1.8566728e-11
0.9999026,7.328423e-05,2.4082303e-05
0.999967,7.5462854e-06,2.554926e-05
0.9999124,8.320184e-05,4.4333297e-06
0.94520867,0.007394499,0.04739683
0.99998176,1.3739189e-05,4.4750805e-06
0.99835926,0.0002883838,0.0013524027
0.99646723,0.0002403116,0.0032924004
0.9989373,0.00028290492,0.00077975204
0.5702704,0.06184299,0.36788654
0.99999976,1.8778347e-07,3.777682e-08
0.99596393,0.0004309968,0.0036050736
0.9999969,2.6497062e-06,4.7073127e-07
0.8198446,0.039969448,0.14018604
0.9999956,1.31046125e-08,4.4069548e-06
0.99997854,1.2842542e-05,8.559857e-06
1.0,1.7110995e-11,1.2876971e-11
1.0,1.15675896e-08,5.381578e-11
1.0,4.0998555e-11,7.885811e-12
0.9999999,1.11809015e-07,5.1311744e-10
0.9610702,0.038888358,4.1450967e-05
1.0,6.1940015e-12,2.4411842e-14
1.0,3.390623e-12,6.8981357e-12
1.0,3.0056235e-11,4.6372215e-14
0.9999993,9.6042164e-08,5.743673e-07
1.0,1.8385769e-11,8.40543e-11
0.9999981,8.4487556e-07,1.0549337e-06
1.0,1.5668172e-09,1.7784929e-10
0.8785627,0.08061219,0.04082511
0.99999905,7.844434e-07,1.387128e-07
1.0,9.328565e-09,1.0127523e-09
0.9999906,3.193369e-06,6.2041895e-06
0.99875855,0.000928333,0.00031309898
0.9992368,0.000582519,0.00018066684
0.9997875,0.00019085508,2.1701535e-05
0.99999976,1.8601712e-07,9.317589e-09
0.7142878,0.27537036,0.010341828
0.9964886,0.0028908392,0.0006206122
0.9755727,0.0038456675,0.020581545
0.9996043,0.00030779288,8.7969536e-05
1.0,1.6080596e-09,6.598082e-09
0.98215735,0.0073249326,0.010517725
0.99898905,0.0008976533,0.0001132614
0.9999989,2.297327e-07,7.9262196e-07
0.8653459,0.0018559971,0.13279805
0.99996006,2.111432e-05,1.880565e-05
0.9999397,1.3335921e-05,4.701153e-05
0.9948632,0.0050777183,5.904969e-05
1.0,5.6734057e-09,4.4946078e-11
0.9125217,0.06555452,0.021923723
0.9999999,1.1768294e-07,5.339337e-09
0.9999993,5.4247423e-08,7.688031e-07
1.0,2.6831913e-08,2.6087061e-08
0.9999993,6.0954955e-07,1.5483822e-07
1.0,1.7267236e-13,1.1212337e-15
0.7883238,0.0069381054,0.20473813
0.99970514,0.00022651412,6.8312256e-05
0.7568672,0.03552684,0.20760591
0.9999902,3.2318976e-06,6.6156317e-06
0.9999677,2.3005616e-05,9.32126e-06
0.99771225,0.001074466,0.0012132642
0.9950866,0.002498125,0.0024153017
0.99800783,0.0015785566,0.00041369483
0.9996865,0.00023972745,7.380686e-05
0.9997155,8.2796374e-05,0.00020168764
0.9998516,8.453329e-05,6.386691e-05
0.99982184,0.0001601717,1.8000472e-05
0.9998803,8.5811866e-05,3.3907072e-05
0.9990569,0.0008454503,9.768802e-05
0.99932086,0.0005321959,0.00014702532
0.9997129,5.3245145e-05,0.00023379343
0.999845,6.2795254e-05,9.218227e-05
0.9999628,1.6506301e-05,2.0696672e-05
0.99998903,8.384294e-06,2.6691455e-06
0.9996904,0.00015216602,0.00015741773
0.99483657,0.0032037438,0.0019597115
0.9881097,0.0046039443,0.0072863465
0.99963224,0.00024376264,0.0001239315
0.9982697,0.0013301843,0.00040007912
0.99993324,1.4098729e-05,5.2736155e-05
0.99922633,0.0005503887,0.00022327935
0.9986234,0.0011422682,0.00023438336
0.9980476,0.0010522158,0.00090014306
0.9985185,0.00085451716,0.0006268875
0.99731123,0.001065198,0.0016235397
0.98815143,0.00051328016,0.011335389
0.9999454,4.6890724e-05,7.749446e-06
0.99911684,0.00023918472,0.00064394705
0.9984084,0.0015226944,6.887981e-05
0.9982509,0.0010923927,0.0006566526
0.89057344,0.047167182,0.062259376
0.99988866,7.841707e-05,3.2859185e-05
0.99562824,0.00046698767,0.0039047243
0.9874407,0.00046439332,0.012094875
0.999998,1.5075286e-06,5.3486986e-07
1.0,1.2107505e-11,1.9020133e-13
0.99974054,6.2393e-05,0.00019699211
0.9999976,1.4928551e-06,8.931025e-07
0.9999267,4.8485446e-05,2.4758747e-05
0.99995375,2.599772e-06,4.3673826e-05
0.9993381,5.3537555e-05,0.0006084211
0.9999995,3.3392985e-07,1.3839363e-07
0.9932389,0.00057150703,0.0061895326
0.999967,1.5102196e-05,1.7932212e-05
0.99998915,1.03805105e-05,4.6619127e-07
1.0,1.4440799e-10,4.9468775e-12
1.0,6.76627e-10,1.1105318e-12
1.0,3.8662042e-09,2.889186e-10
0.99999523,5.1709634e-07,4.3164473e-06
1.0,7.2082806e-09,6.438185e-09
0.99713564,0.002766327,9.80159e-05
0.99999213,6.0516077e-06,1.7539982e-06
0.983133,0.01686149,5.5120395e-06
0.9999926,2.3402304e-06,4.953961e-06
0.9999335,3.5482665e-07,6.6206056e-05
0.9999999,7.962075e-08,4.7423215e-10
0.5154315,0.4799659,0.0046025743
0.999962,3.188058e-05,6.1466685e-06
0.9998877,0.000108044456,4.2472466e-06
0.9422839,0.05771071,5.4476805e-06
0.9999124,8.426412e-05,3.3854571e-06
0.99999416,5.422296e-07,5.293198e-06
1.0,5.609994e-09,1.4056027e-10
0.97755057,0.012874282,0.009575159
0.9999994,4.622166e-07,1.5909183e-07
0.9996228,0.00033457903,4.2552776e-05
0.8712844,0.12869781,1.7811404e-05
