time_trame,label,acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6,acc_x_7,acc_y_7,acc_z_7,acc_x_8,acc_y_8,acc_z_8,acc_x_9,acc_y_9,acc_z_9,acc_x_10,acc_y_10,acc_z_10,acc_x_11,acc_y_11,acc_z_11,acc_x_12,acc_y_12,acc_z_12,acc_x_13,acc_y_13,acc_z_13,acc_x_14,acc_y_14,acc_z_14,acc_x_15,acc_y_15,acc_z_15,acc_x_16,acc_y_16,acc_z_16,acc_x_17,acc_y_17,acc_z_17,acc_x_18,acc_y_18,acc_z_18,acc_x_19,acc_y_19,acc_z_19,acc_x_20,acc_y_20,acc_z_20,gyro_x_1,gyro_y_1,gyro_z_1,gyro_x_2,gyro_y_2,gyro_z_2,gyro_x_3,gyro_y_3,gyro_z_3,gyro_x_4,gyro_y_4,gyro_z_4,gyro_x_5,gyro_y_5,gyro_z_5
91.25,0,1.124352,0.187392,0.0,0.93696,0.187392,0.0,0.93696,0.187392,0.0,0.93696,0.187392,0.0,0.93696,0.0,-0.187392,1.124352,0.187392,-0.187392,1.124352,0.187392,-0.187392,1.311744,0.374784,-0.187392,1.124352,0.374784,-0.187392,1.124352,0.374784,-0.187392,1.124352,0.374784,-0.187392,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.374784,-0.562176,0.93696,0.562176,-0.374784,0.93696,0.562176,-0.374784,0.749568,0.374784,-0.374784,0.93696,0.187392,-0.374784,0.749568,0.0,-0.374784,0.749568,-0.187392,-0.374784,-250.88,0.0,107.52,-232.96000000000004,0.0,89.60000000000001,-232.96000000000004,53.760000000000005,71.68,-250.88,71.68,89.60000000000001,-286.72,71.68,89.60000000000001
91.5,0,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.374784,-0.187392,-0.562176,0.374784,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,-250.88,53.760000000000005,107.52,-215.04,53.760000000000005,89.60000000000001,-161.28000000000003,35.84,71.68,-107.52,35.84,35.84,-71.68,35.84,17.92
91.75,0,0.562176,-0.187392,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.93696,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,-53.760000000000005,53.760000000000005,0.0,-53.760000000000005,53.760000000000005,17.92,-35.84,53.760000000000005,17.92,-35.84,71.68,17.92,-53.760000000000005,71.68,35.84
92.0,0,0.187392,-0.187392,-0.749568,0.187392,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.187392,-0.187392,-0.749568,0.187392,-0.187392,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.562176,-0.749568,0.0,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-0.187392,-0.562176,-0.749568,-53.760000000000005,89.60000000000001,35.84,-71.68,107.52,35.84,-53.760000000000005,107.52,17.92,-53.760000000000005,107.52,0.0,-53.760000000000005,107.52,0.0
92.25,0,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-35.84,89.60000000000001,0.0,-35.84,89.60000000000001,0.0,-53.760000000000005,71.68,0.0,-35.84,71.68,0.0,-35.84,71.68,0.0
92.5,0,-0.749568,-0.562176,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-1.124352,-0.749568,-0.749568,-1.124352,-0.749568,-0.749568,-1.124352,-0.749568,-0.749568,-1.124352,-0.749568,-0.749568,-1.124352,-0.93696,-0.749568,-1.124352,-0.93696,-35.84,53.760000000000005,0.0,-35.84,35.84,0.0,-35.84,17.92,0.0,-35.84,0.0,17.92,0.0,-17.92,0.0
92.75,0,-0.749568,-1.124352,-0.93696,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,17.92,-35.84,0.0,35.84,-53.760000000000005,0.0,35.84,-71.68,0.0,53.760000000000005,-89.60000000000001,0.0,53.760000000000005,-107.52,0.0
93.0,0,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.562176,-0.749568,-0.374784,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,-0.187392,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,53.760000000000005,-107.52,0.0,53.760000000000005,-107.52,0.0,53.760000000000005,-107.52,0.0,35.84,-107.52,0.0,35.84,-107.52,0.0
93.25,0,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.187392,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,53.760000000000005,-89.60000000000001,0.0,53.760000000000005,-89.60000000000001,0.0,53.760000000000005,-89.60000000000001,0.0,53.760000000000005,-71.68,-17.92,35.84,-53.760000000000005,-17.92
93.5,0,0.187392,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,17.92,-53.760000000000005,-17.92,0.0,-53.760000000000005,-17.92,0.0,-35.84,0.0,-17.92,-35.84,17.92,-17.92,-35.84,17.92
93.75,0,0.562176,-0.187392,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,-17.92,-17.92,17.92,-17.92,-17.92,17.92,0.0,-17.92,17.92,0.0,-17.92,17.92,0.0,-17.92,0.0
94.0,0,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.93696,0.374784,-0.374784,-0.93696,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0,-17.92,17.92,0.0,-35.84,17.92,17.92,-35.84,17.92
94.25,0,0.749568,-0.374784,-0.749568,0.749568,-0.374784,-0.749568,0.93696,-0.374784,-0.749568,0.93696,-0.187392,-0.749568,0.93696,-0.187392,-0.749568,0.93696,-0.187392,-0.749568,0.93696,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.93696,-0.187392,-0.749568,0.93696,-0.187392,-0.749568,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,17.92,-35.84,17.92,17.92,-17.92,17.92,17.92,-17.92,0.0,35.84,-17.92,0.0,35.84,0.0,0.0
94.5,0,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.187392,-0.562176,0.562176,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,35.84,0.0,0.0,35.84,0.0,-17.92,35.84,-17.92,-17.92,17.92,-17.92,0.0,0.0,-17.92,0.0
94.75,0,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.749568,0.749568,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.93696,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.0,-35.84,0.0,0.0,-17.92,-17.92,17.92,-17.92,-17.92,17.92,-17.92,-17.92,17.92,-17.92,-35.84
95.0,0,0.749568,0.0,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.562176,-0.562176,0.562176,-0.562176,-0.562176,0.562176,-0.562176,-0.562176,17.92,0.0,-35.84,0.0,0.0,-35.84,0.0,17.92,-17.92,0.0,17.92,-17.92,0.0,0.0,0.0
95.25,0,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.562176,-0.562176,0.562176,-0.562176,-0.562176,0.562176,-0.562176,-0.562176,0.562176,-0.562176,-0.562176,0.562176,-0.562176,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,-17.92,-17.92,0.0
95.5,0,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.749568,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.749568,0.749568,-0.374784,-0.749568,0.749568,-0.374784,-0.749568,0.749568,-0.374784,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.93696,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,-35.84,-17.92,17.92,-35.84,-17.92,35.84,-35.84,0.0,35.84,-35.84,0.0,35.84,-35.84,0.0,35.84
95.75,0,0.749568,0.0,-0.749568,0.93696,0.0,-0.749568,0.93696,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.562176,0.749568,0.0,-0.749568,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.749568,0.749568,0.187392,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,-35.84,0.0,35.84,-35.84,0.0,35.84,-17.92,0.0,35.84,-35.84,0.0,35.84,-35.84,0.0,35.84
96.0,0,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,0.0,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,-35.84,0.0,17.92,-35.84,0.0,17.92,-35.84,-17.92,17.92,-35.84,-17.92,35.84,-35.84,-17.92,17.92
96.25,0,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.374784,-0.562176,0.93696,-0.374784,-0.562176,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,-35.84,-17.92,17.92,-53.760000000000005,0.0,17.92,-53.760000000000005,0.0,17.92,-53.760000000000005,0.0,0.0,-53.760000000000005,-17.92,-17.92
