nothing_prob,throw_prob,swing_prob
0.9997558,0.00017409181,7.00568e-05
0.99983585,5.4189004e-05,0.00010993694
0.9971654,0.0015754546,0.001259148
0.99586415,0.0017793919,0.0023564526
0.99980885,0.00011228455,7.884677e-05
0.99851364,0.00093380915,0.0005526031
0.99766386,0.00122607,0.0011101459
0.99967754,4.2595297e-05,0.0002799251
0.9984914,0.0010798087,0.000428803
0.99807703,0.0013897602,0.00053313066
0.9990596,0.00044506404,0.00049527286
0.9955433,0.0014540965,0.0030027016
0.9875924,0.0005939067,0.011813672
0.9999815,8.839059e-06,9.599112e-06
0.9999597,8.238125e-06,3.212411e-05
0.99894756,0.00095422874,9.8273915e-05
0.9996716,0.00017780464,0.00015066027
0.89038354,0.07059539,0.03902105
0.999795,0.00016825978,3.6739344e-05
0.9874972,0.0029704184,0.009532382
0.9981987,6.2377505e-05,0.0017389801
0.99999976,7.9346634e-08,8.901619e-08
1.0,4.9341104e-11,8.449971e-11
0.9998235,3.5045894e-05,0.00014151727
0.99999845,9.044455e-07,5.632591e-07
0.99993205,4.1513853e-05,2.6430798e-05
0.9999734,5.9413287e-06,2.0633333e-05
0.9970016,0.00026235596,0.002736052
0.9999995,3.780934e-07,6.176692e-08
0.9943809,0.00030623886,0.0053129345
0.99995434,2.8713774e-05,1.6911055e-05
0.9999987,9.411423e-07,3.139558e-07
1.0,2.4614542e-09,1.1798067e-10
0.99999964,3.8741675e-07,2.0876271e-08
0.99999964,1.4249751e-07,2.4228507e-07
0.9999995,4.028992e-07,1.03881426e-07
0.9999988,1.1627855e-06,3.533502e-08
0.87005526,0.086240806,0.043703947
1.0,4.442395e-08,2.6877396e-08
0.9968078,0.003173197,1.8954213e-05
0.9993249,0.0003227331,0.0003524311
0.999966,2.5793983e-07,3.372766e-05
0.9999769,2.2269387e-05,8.699746e-07
0.9997068,6.653362e-05,0.00022666316
1.0,1.233375e-09,2.4666476e-09
1.0,3.164618e-12,5.895038e-11
0.9999851,1.475922e-05,9.662067e-08
0.9999645,7.9997335e-06,2.752418e-05
0.99999154,2.2601021e-07,8.231546e-06
0.9999919,5.324383e-06,2.7395708e-06
0.9999691,1.4086205e-06,2.9422146e-05
0.9999962,3.3826618e-06,5.014843e-07
0.9999975,2.0945865e-06,4.1691374e-07
0.9772537,0.022725014,2.134576e-05
0.9790003,0.0013909709,0.019608647
0.99991584,2.0774448e-06,8.2108425e-05
1.0,6.1500533e-13,1.6510713e-12
0.015357274,0.9801319,0.004510771
0.9999913,3.095771e-06,5.6121153e-06
0.93904424,0.024686137,0.036269546
